ymd,race,order,no,odds
20130105,01,1,12,1.9
20130105,01,2,4,44.1
20130105,01,3,13,11.8
20130105,01,4,1,5.3
20130105,01,5,10,6.1
20130105,01,6,9,19
20130105,01,7,6,55.2
20130105,01,8,3,207.1
20130105,01,9,7,57.4
20130105,01,10,5,8.5
20130105,01,11,11,44.6
20130105,01,12,8,101.7
20130105,01,13,15,230.1
20130105,01,14,16,387.7
20130105,01,15,2,48.6
20130105,01,16,14,186.4
20130105,02,1,1,35.1
20130105,02,2,15,5.6
20130105,02,3,9,2.9
20130105,02,4,7,20.3
20130105,02,5,11,15.4
20130105,02,6,12,3.5
20130105,02,7,4,12
20130105,02,8,8,35
20130105,02,9,14,364.2
20130105,02,10,16,36.8
20130105,02,11,3,7.7
20130105,02,12,5,111.6
20130105,02,13,13,127.6
20130105,02,14,10,121.4
20130105,02,15,6,407.5
20130105,02,16,2,151.2
20130105,03,1,7,3.3
20130105,03,2,4,4.1
20130105,03,3,12,20
20130105,03,4,9,40.2
20130105,03,5,1,9.2
20130105,03,6,8,28.2
20130105,03,7,15,18.9
20130105,03,8,13,38.8
20130105,03,9,3,99.4
20130105,03,10,5,47.4
20130105,03,11,16,19.9
20130105,03,12,10,4.5
20130105,03,13,2,21.7
20130105,03,14,11,42.3
20130105,03,15,14,35.7
20130105,03,16,6,125.5
20130105,04,1,2,2.3
20130105,04,2,8,6.6
20130105,04,3,5,91.8
20130105,04,4,4,12.1
20130105,04,5,15,32.3
20130105,04,6,13,21.7
20130105,04,7,14,5.2
20130105,04,8,11,13.6
20130105,04,9,7,107.9
20130105,04,10,12,106.2
20130105,04,11,3,10.7
20130105,04,12,9,89
20130105,04,13,1,36
20130105,04,14,10,267.8
20130105,04,15,6,14.8
20130105,05,1,16,7.8
20130105,05,2,6,8.7
20130105,05,3,9,6.8
20130105,05,4,15,17.6
20130105,05,5,3,7.9
20130105,05,6,10,5.6
20130105,05,7,5,16.1
20130105,05,8,7,17.4
20130105,05,9,4,78.6
20130105,05,10,2,5.4
20130105,05,11,8,8.7
20130105,05,12,13,24.9
20130105,05,13,12,155.6
20130105,05,14,14,195.7
20130105,05,15,1,40.6
20130105,06,1,10,4.6
20130105,06,2,7,7.6
20130105,06,3,1,9.2
20130105,06,4,16,48.7
20130105,06,5,9,10.6
20130105,06,6,2,1.9
20130105,06,7,3,22.4
20130105,06,8,6,270.7
20130105,06,9,12,17
20130105,06,10,4,63
20130105,06,11,5,167.9
20130105,06,12,14,75.6
20130105,06,13,11,371.1
20130105,06,14,13,357.3
20130105,06,15,15,77.1
20130105,06,16,8,271.9
20130105,07,1,12,14.2
20130105,07,2,11,5.7
20130105,07,3,1,11.4
20130105,07,4,8,15.1
20130105,07,5,7,7.1
20130105,07,6,9,6.8
20130105,07,7,5,43.6
20130105,07,8,14,63.6
20130105,07,9,15,2.4
20130105,07,10,13,29.6
20130105,07,11,4,23.4
20130105,07,12,6,132.3
20130105,07,13,3,140.1
20130105,07,14,10,303.3
20130105,07,15,2,78.7
20130105,08,1,8,7.9
20130105,08,2,7,103.7
20130105,08,3,15,33.1
20130105,08,4,5,2.3
20130105,08,4,16,16.8
20130105,08,6,10,17.2
20130105,08,7,2,4.2
20130105,08,8,4,28.7
20130105,08,9,1,144.3
20130105,08,10,12,6.3
20130105,08,11,13,130.4
20130105,08,12,9,28.3
20130105,08,13,3,97.6
20130105,08,14,14,225.2
20130105,08,15,11,109.9
20130105,08,16,6,42.1
20130105,09,1,16,5.1
20130105,09,2,6,34.2
20130105,09,3,15,2.9
20130105,09,4,10,8.3
20130105,09,5,3,15.6
20130105,09,6,9,5.5
20130105,09,7,7,11.1
20130105,09,8,8,9.1
20130105,09,9,5,163.3
20130105,09,10,2,65.2
20130105,09,11,1,158
20130105,09,12,12,210
20130105,09,13,11,32
20130105,09,14,4,78.2
20130105,09,15,14,24.7
20130105,09,16,13,198
20130105,10,1,4,3.3
20130105,10,2,2,27.4
20130105,10,3,8,4.4
20130105,10,4,1,14.5
20130105,10,5,5,26.1
20130105,10,6,9,35.6
20130105,10,7,7,4.1
20130105,10,8,12,55.5
20130105,10,9,14,47
20130105,10,10,11,12.8
20130105,10,11,6,48.5
20130105,10,12,13,112.2
20130105,10,13,10,78.8
20130105,10,14,15,6.6
20130105,10,15,3,146.7
20130105,11,1,6,4.4
20130105,11,2,11,6.6
20130105,11,3,9,3.4
20130105,11,4,4,22.6
20130105,11,5,10,4.7
20130105,11,6,3,42.5
20130105,11,7,7,58.9
20130105,11,8,8,9.8
20130105,11,9,2,34.5
20130105,11,10,15,16.6
20130105,11,11,1,27.7
20130105,11,12,5,66.3
20130105,11,13,14,86.1
20130105,11,14,13,133.6
20130105,11,15,16,74.8
20130105,11,16,12,99.5
20130105,12,1,14,3.1
20130105,12,2,7,47.9
20130105,12,3,2,4.1
20130105,12,4,10,13.1
20130105,12,5,15,32.9
20130105,12,6,8,7
20130105,12,7,5,6
20130105,12,8,9,78
20130105,12,9,11,15.5
20130105,12,10,1,33.6
20130105,12,11,13,157.6
20130105,12,12,6,52.3
20130105,12,13,4,67.8
20130105,12,14,3,10.5
20130105,12,15,12,244.6
20130105,01,1,12,6.8
20130105,01,2,14,42.5
20130105,01,3,8,2.9
20130105,01,4,1,12.6
20130105,01,5,13,11.9
20130105,01,6,10,6.6
20130105,01,7,11,16.1
20130105,01,8,9,42
20130105,01,9,3,44.5
20130105,01,10,7,4.8
20130105,01,11,6,179.8
20130105,01,12,5,12.2
20130105,01,13,2,120.3
20130105,01,14,15,224.4
20130105,01,15,4,228.4
20130105,01,16,16,359.8
20130105,02,1,2,6
20130105,02,2,4,41.6
20130105,02,3,14,48.3
20130105,02,4,13,11.1
20130105,02,5,9,24.5
20130105,02,6,15,36.2
20130105,02,7,6,4.2
20130105,02,8,10,72.6
20130105,02,9,1,93.7
20130105,02,10,11,4.2
20130105,02,11,12,4.6
20130105,02,12,8,68.7
20130105,02,13,3,292.9
20130105,02,14,16,18.4
20130105,03,1,3,5.3
20130105,03,2,11,1.8
20130105,03,3,8,38
20130105,03,4,9,14.5
20130105,03,5,1,49.8
20130105,03,6,10,25.6
20130105,03,7,2,5.5
20130105,03,8,6,115.9
20130105,03,9,7,20.2
20130105,03,10,4,15.8
20130105,03,11,5,31
20130105,04,1,8,3.8
20130105,04,2,16,9.1
20130105,04,3,10,12.8
20130105,04,4,5,18
20130105,04,5,4,2.7
20130105,04,6,9,19
20130105,04,7,14,17.8
20130105,04,8,1,7.1
20130105,04,9,6,22
20130105,04,10,13,211
20130105,04,11,3,46.1
20130105,04,12,12,95.7
20130105,04,13,7,241.3
20130105,04,14,2,72.1
20130105,04,15,11,64.5
20130105,04,16,15,65.5
20130105,05,1,5,25.4
20130105,05,2,9,2.3
20130105,05,3,4,17.5
20130105,05,4,1,7.5
20130105,05,5,3,9.4
20130105,05,6,11,48.6
20130105,05,7,14,23.3
20130105,05,8,13,4
20130105,05,9,6,34.5
20130105,05,10,15,19.2
20130105,05,11,12,54.1
20130105,05,12,7,189.1
20130105,05,13,16,29.4
20130105,05,14,10,92.2
20130105,05,15,2,134.3
20130105,05,16,8,394
20130105,06,1,13,13.3
20130105,06,2,8,8.9
20130105,06,3,7,17
20130105,06,4,1,5.4
20130105,06,5,14,24.5
20130105,06,6,4,72.2
20130105,06,7,12,5.7
20130105,06,8,11,56.8
20130105,06,9,5,120.3
20130105,06,10,2,9
20130105,06,11,3,3.3
20130105,06,12,10,211.4
20130105,06,13,15,31.5
20130105,06,14,9,10.7
20130105,06,15,6,40.1
20130105,07,1,13,32
20130105,07,2,4,11.7
20130105,07,3,12,58.9
20130105,07,4,7,13.2
20130105,07,5,10,3.7
20130105,07,6,15,9.1
20130105,07,7,2,22.7
20130105,07,8,5,2.6
20130105,07,9,9,42.9
20130105,07,10,6,22.6
20130105,07,11,1,30.2
20130105,07,12,11,236.6
20130105,07,13,8,26.2
20130105,07,14,16,14.3
20130105,07,15,3,179
20130105,07,16,14,82.8
20130105,08,1,5,2.4
20130105,08,2,1,4.6
20130105,08,3,6,12.9
20130105,08,4,12,115.4
20130105,08,5,15,4
20130105,08,6,4,13.8
20130105,08,7,11,80.4
20130105,08,8,3,41.7
20130105,08,9,16,87.3
20130105,08,10,7,99.9
20130105,08,11,8,10.9
20130105,08,12,9,97.6
20130105,08,13,13,27.3
20130105,08,14,2,63.7
20130105,08,15,14,309.1
20130105,08,16,10,255.6
20130105,09,1,1,4.5
