着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803010504
1,5,9,フォンテーヌ,牝3,54,柴田善臣,1:48.9,,**,8-8-7-5,35.7,5.3,3,442(0),,,,[東] 田中清隆,宮崎忠比古,500.0,200803010504
2,3,5,ユーピロンユー,牝3,54,高山太郎,1:48.9,クビ,**,1-1-1-1,36.8,22.6,7,422(-2),,,,[東] 蛯名信広,袴田精一,200.0,200803010504
3,5,10,シーエンプレス,牝3,54,中村将之,1:49.1,1.1/4,**,14-14-12-10,35.1,31.2,10,484(0),,,,[西] 松元茂樹,サンデーレーシング,130.0,200803010504
4,1,2,プログレッシブ,牝3,53,田中博康,1:49.3,1.1/2,**,16-16-16-11,34.9,17.8,6,418(-8),,,,[東] 池上昌弘,水上行雄,75.0,200803010504
5,7,13,ライトニングソード,牝3,54,後藤浩輝,1:49.5,1.1/4,**,11-10-8-7,36.2,3.2,1,456(-2),,,,[東] 鈴木伸尋,社台レースホース,50.0,200803010504
6,2,3,ラクシュミーギャル,牝3,54,中舘英二,1:49.5,クビ,**,14-15-13-13,35.4,12.7,5,490(-4),,,,[西] 清水出美,小谷津延弘,,200803010504
7,2,4,メイショウシーカー,牝3,54,熊沢重文,1:49.8,1.3/4,**,3-3-4-3,37.0,57.1,12,456(-8),,,,[西] 高橋成忠,松本好雄,,200803010504
8,8,16,ショウナンハゴロモ,牝3,54,吉田隼人,1:49.8,ハナ,**,2-2-2-2,37.3,3.7,2,450(-6),,,,[東] 国枝栄,湘南,,200803010504
9,4,8,プリズム,牝3,54,菊沢隆徳,1:49.9,3/4,**,7-5-5-7,36.8,26.2,8,444(-12),,,,[西] 作田誠二,鳴戸雄一,,200803010504
10,7,14,キクノフレア,牝3,53,北村友一,1:50.5,3.1/2,**,3-3-3-3,37.8,26.3,9,476(+6),,,,[西] 藤岡範士,菊池五郎,,200803010504
11,1,1,シャルマンローテ,牝3,51,宮崎北斗,1:50.7,1,**,11-12-14-15,36.5,137.9,14,464(-12),,,,[西] 松永幹夫,山科統,,200803010504
12,3,6,キドニーグリル,牝3,53,的場勇人,1:50.7,クビ,**,9-8-8-9,37.4,186.3,16,474(+8),,,,[東] 佐藤吉勝,古川智洋,,200803010504
13,8,15,スズシルフ,牝3,54,村田一誠,1:50.9,1.1/4,**,5-7-10-11,37.1,124.1,13,410(-16),,,,[東] 本間忍,小紫芳夫,,200803010504
14,6,11,スエヒログリーナ,牝3,51,三浦皇成,1:52.5,10,**,11-12-14-16,38.3,31.6,11,504(0),,,,[東] 斎藤誠,みどり住宅,,200803010504
15,6,12,マチカネハクウン,牝3,51,田中健,1:52.8,1.3/4,**,5-5-5-5,39.8,8.0,4,496(0),,,,[西] 沖芳夫,細川益男,,200803010504
16,4,7,アペルドールン,牝3,52,藤岡康太,1:52.8,ハナ,**,9-10-10-14,39.0,150.0,15,442(-4),,,,[西] 矢作芳人,ターフ・スポート,,200803010504
